rank	lemma	pos	count	pct	cum_pct
407	ох	INTJ	3196	0.0245	64.9104
408	живой	ADJF	3195	0.0245	64.9350
409	дверь	NOUN	3184	0.0244	64.9594
410	здоровый	ADJS	3182	0.0244	64.9838
411	квартира	NOUN	3175	0.0244	65.0082
412	быстро	ADVB	3168	0.0243	65.0325
413	вещь	NOUN	3157	0.0242	65.0568
414	есть	VERB	3155	0.0242	65.0810
415	благодарить	VERB	3152	0.0242	65.1052
416	идти	INFN	3126	0.0240	65.1292
417	вид	NOUN	3111	0.0239	65.1531
418	угу	INTJ	3091	0.0237	65.1768
419	дорогой	ADJF	3087	0.0237	65.2005
420	месяц	NOUN	3053	0.0234	65.2239
421	желать	VERB	3050	0.0234	65.2473
422	фамилия	NOUN	3047	0.0234	65.2707
423	попасть	VERB	3039	0.0233	65.2941
424	сергей	NOUN	3038	0.0233	65.3174
425	дочь	NOUN	3028	0.0232	65.3406
426	рубль	NOUN	3010	0.0231	65.3637
427	целый	ADJF	3002	0.0230	65.3868
428	долго	ADVB	2973	0.0228	65.4096
429	слава	NOUN	2971	0.0228	65.4324
430	вроде	PRCL	2965	0.0228	65.4552
431	великий	ADJF	2958	0.0227	65.4779
432	написать	VERB	2955	0.0227	65.5006
433	ай	INTJ	2938	0.0226	65.5231
434	разговор	NOUN	2931	0.0225	65.5456
435	мужик	NOUN	2922	0.0224	65.5681
436	конь	NOUN	2913	0.0224	65.5904
437	прощать	VERB	2907	0.0223	65.6127
438	василиевич	NOUN	2885	0.0221	65.6349
439	красный	ADJF	2884	0.0221	65.6570
440	четыре	NUMR	2854	0.0219	65.6789
441	советский	ADJF	2854	0.0219	65.7009
442	обязательно	ADVB	2851	0.0219	65.7227
443	купить	VERB	2841	0.0218	65.7445
444	будто	CONJ	2837	0.0218	65.7663
445	полковник	NOUN	2832	0.0217	65.7881
446	ура	INTJ	2824	0.0217	65.8097
447	семья	NOUN	2817	0.0216	65.8314
448	огонь	NOUN	2811	0.0216	65.8530
449	против	PREP	2808	0.0216	65.8745
450	гражданин	NOUN	2806	0.0215	65.8961
451	успеть	VERB	2784	0.0214	65.9174
452	судьба	NOUN	2784	0.0214	65.9388
453	спокойно	ADVB	2783	0.0214	65.9602
454	мужчина	NOUN	2778	0.0213	65.9815
455	чуть	ADVB	2773	0.0213	66.0028
456	полный	ADJF	2772	0.0213	66.0241
457	надеяться	VERB	2749	0.0211	66.0452
458	любой	ADJF	2748	0.0211	66.0663
459	фронт	NOUN	2743	0.0211	66.0873
460	правда	NOUN	2732	0.0210	66.1083
461	красивый	ADJF	2722	0.0209	66.1292
462	кой	ADJF	2714	0.0208	66.1500
463	взять	INFN	2712	0.0208	66.1708
464	номер	NOUN	2711	0.0208	66.1917
465	хозяин	NOUN	2708	0.0208	66.2124
466	бабушка	NOUN	2706	0.0208	66.2332
467	спать	INFN	2697	0.0207	66.2539
468	солдат	NOUN	2683	0.0206	66.2745
469	смеяться	VERB	2683	0.0206	66.2951
470	попробовать	VERB	2680	0.0206	66.3157
471	прекрасно	ADVB	2678	0.0206	66.3363
472	обещать	VERB	2678	0.0206	66.3568
473	стол	NOUN	2673	0.0205	66.3773
474	кстати	CONJ	2671	0.0205	66.3978
475	белый	ADJF	2670	0.0205	66.4183
476	страна	NOUN	2669	0.0205	66.4388
477	улица	NOUN	2665	0.0205	66.4593
478	более	ADVB	2658	0.0204	66.4797
479	александр	NOUN	2653	0.0204	66.5001
480	отпустить	VERB	2653	0.0204	66.5204
481	передать	VERB	2645	0.0203	66.5407
482	бой	NOUN	2644	0.0203	66.5610
483	коля	NOUN	2640	0.0203	66.5813
484	спросить	VERB	2638	0.0203	66.6015
485	совершенно	ADVB	2638	0.0203	66.6218
486	армия	NOUN	2625	0.0202	66.6420
487	помочь	INFN	2619	0.0201	66.6621
488	бить	VERB	2618	0.0201	66.6822
489	волноваться	VERB	2595	0.0199	66.7021
490	перестать	VERB	2571	0.0197	66.7218
491	неделя	NOUN	2562	0.0197	66.7415
492	немец	NOUN	2562	0.0197	66.7612
493	наконец	ADVB	2545	0.0195	66.7807
494	успокоиться	VERB	2543	0.0195	66.8002
495	живой	ADJS	2540	0.0195	66.8197
496	честь	NOUN	2539	0.0195	66.8392
497	сергеевич	NOUN	2539	0.0195	66.8587
498	беда	NOUN	2527	0.0194	66.8781
499	звонить	VERB	2525	0.0194	66.8975
500	трудно	ADVB	2523	0.0194	66.9169
501	язык	NOUN	2521	0.0194	66.9362
502	глядеть	VERB	2518	0.0193	66.9555
