rank	lemma	pos	count	pct	cum_pct
1	я	NPRO	463940	3.5617	3.5617
2	не	PRCL	366330	2.8123	6.3740
3	ты	NPRO	265277	2.0365	8.4105
4	а	CONJ	265017	2.0345	10.4451
5	и	CONJ	255211	1.9593	12.4043
6	что	CONJ	250973	1.9267	14.3310
7	в	PREP	245082	1.8815	16.2125
8	вы	NPRO	226357	1.7377	17.9503
9	он	NPRO	151446	1.1627	19.1129
10	на	PREP	148907	1.1432	20.2561
11	ну	PRCL	144154	1.1067	21.3628
12	это	PRCL	134368	1.0315	22.3943
13	с	PREP	126431	0.9706	23.3649
14	мы	NPRO	121173	0.9302	24.2952
15	да	PRCL	119780	0.9196	25.2147
16	быть	VERB	119561	0.9179	26.1326
17	как	CONJ	110120	0.8454	26.9780
18	у	PREP	99395	0.7631	27.7410
19	всё	PRCL	93505	0.7178	28.4589
20	вот	PRCL	88250	0.6775	29.1364
21	так	CONJ	87549	0.6721	29.8085
22	то	CONJ	83854	0.6437	30.4522
23	же	PRCL	75029	0.5760	31.0282
24	нет	PRED	68846	0.5285	31.5568
25	они	NPRO	67243	0.5162	32.0730
26	она	NPRO	65821	0.5053	32.5783
27	мочь	VERB	61606	0.4729	33.0513
28	за	PREP	61104	0.4691	33.5204
29	мой	ADJF	57313	0.4400	33.9603
30	к	PREP	57303	0.4399	34.4003
31	знать	VERB	56880	0.4367	34.8369
32	кто	NPRO	53444	0.4103	35.2472
33	но	CONJ	51387	0.3945	35.6417
34	по	PREP	50829	0.3902	36.0319
35	какой	ADJF	45705	0.3509	36.3828
36	такой	ADJF	44337	0.3404	36.7232
37	этот	ADJF	43399	0.3332	37.0564
38	о	PREP	41971	0.3222	37.3786
39	человек	NOUN	40066	0.3076	37.6862
40	бы	PRCL	39989	0.3070	37.9932
41	говорить	VERB	38197	0.2932	38.2864
42	весь	ADJF	37863	0.2907	38.5771
43	хотеть	VERB	37693	0.2894	38.8664
44	ещё	ADVB	37428	0.2873	39.1538
45	ваш	ADJF	36489	0.2801	39.4339
46	только	ADVB	36344	0.2790	39.7129
47	надо	PRED	35558	0.2730	39.9859
48	один	ADJF	35017	0.2688	40.2547
49	из	PREP	34959	0.2684	40.5231
50	наш	ADJF	34426	0.2643	40.7874
51	свой	ADJF	33775	0.2593	41.0467
52	если	CONJ	33107	0.2542	41.3008
53	давать	VERB	32049	0.2460	41.5469
54	есть	INFN	31689	0.2433	41.7902
55	сказать	VERB	31649	0.2430	42.0331
56	там	ADVB	31604	0.2426	42.2758
57	что	NPRO	30830	0.2367	42.5124
58	тот	ADJF	30603	0.2349	42.7474
59	где	ADVB	30319	0.2328	42.9801
60	сейчас	ADVB	29916	0.2297	43.2098
61	сам	ADJF	29883	0.2294	43.4392
62	идти	VERB	29781	0.2286	43.6678
63	здесь	ADVB	29314	0.2250	43.8929
64	от	PREP	29137	0.2237	44.1166
65	ничего	ADVB	27195	0.2088	44.3253
66	это	NPRO	27050	0.2077	44.5330
67	дело	NOUN	26776	0.2056	44.7386
68	товарищ	NOUN	26286	0.2018	44.9404
69	пойти	VERB	24536	0.1884	45.1287
70	когда	CONJ	24094	0.1850	45.3137
71	хорошо	ADVB	24078	0.1848	45.4986
72	до	PREP	23770	0.1825	45.6810
73	очень	ADVB	23420	0.1798	45.8608
74	себя	NPRO	23382	0.1795	46.0403
75	твой	ADJF	22873	0.1756	46.2159
76	видеть	VERB	22850	0.1754	46.3913
77	для	PREP	22589	0.1734	46.5648
78	почему	ADVB	20934	0.1607	46.7255
79	теперь	ADVB	20912	0.1605	46.8860
80	уже	ADVB	20695	0.1589	47.0449
81	тут	ADVB	20412	0.1567	47.2016
82	ведь	PRCL	20297	0.1558	47.3574
83	понимать	VERB	20223	0.1553	47.5127
84	ли	CONJ	19525	0.1499	47.6626
85	раз	NOUN	19270	0.1479	47.8105
86	думать	VERB	19049	0.1462	47.9567
87	быть	INFN	18818	0.1445	48.1012
88	спасибо	INTJ	18810	0.1444	48.2456
89	год	NOUN	18708	0.1436	48.3892
90	тоже	PRCL	17920	0.1376	48.5268
91	куда	CONJ	17867	0.1372	48.6640
92	чем	CONJ	17754	0.1363	48.8003
93	просить	VERB	17597	0.1351	48.9354
94	пожалуйста	PRCL	17139	0.1316	49.0669
95	ни	PRCL	17068	0.1310	49.1980
96	день	NOUN	16915	0.1299	49.3278
97	чтобы	CONJ	16907	0.1298	49.4576
98	ой	INTJ	16704	0.1282	49.5859
99	дать	VERB	16431	0.1261	49.7120
100	должный	ADJS	16058	0.1233	49.8353
101	который	ADJF	15995	0.1228	49.9581
102	жизнь	NOUN	15829	0.1215	50.0796
103	без	PREP	15711	0.1206	50.2002
104	или	CONJ	15264	0.1172	50.3174
105	можно	PRED	15148	0.1163	50.4337
106	значит	CONJ	14775	0.1134	50.5471
107	дом	NOUN	14700	0.1129	50.6600
108	время	NOUN	14688	0.1128	50.7727
109	друг	NOUN	14397	0.1105	50.8832
110	другой	ADJF	14235	0.1093	50.9925
111	два	NUMR	14162	0.1087	51.1012
112	зачем	ADVB	13989	0.1074	51.2086
113	конечно	CONJ	13792	0.1059	51.3145
114	взять	VERB	13772	0.1057	51.4202
115	нибыть	VERB	13481	0.1035	51.5237
116	ж	PRCL	13312	0.1022	51.6259
117	сюда	ADVB	13128	0.1008	51.7267
118	тогда	ADVB	13031	0.1000	51.8268
119	сегодня	ADVB	12911	0.0991	51.9259
120	любить	VERB	12801	0.0983	52.0241
121	понять	VERB	12708	0.0976	52.1217
122	стоить	VERB	12420	0.0953	52.2171
123	хороший	ADJF	12190	0.0936	52.3106
124	смотреть	VERB	12113	0.0930	52.4036
125	просто	PRCL	12049	0.0925	52.4961
126	потом	ADVB	12040	0.0924	52.5886
127	ладный	ADJS	12012	0.0922	52.6808
128	рука	NOUN	12008	0.0922	52.7730
129	господин	NOUN	11950	0.0917	52.8647
130	большой	COMP	11940	0.0917	52.9564
131	мама	NOUN	11886	0.0912	53.0476
132	первый	ADJF	11812	0.0907	53.1383
133	здравствуйте	INTJ	11561	0.0888	53.2271
134	прийти	VERB	11537	0.0886	53.3156
135	бог	NOUN	11426	0.0877	53.4033
136	даже	PRCL	11120	0.0854	53.4887
137	никто	NPRO	11116	0.0853	53.5740
138	стать	VERB	10958	0.0841	53.6582
139	отец	NOUN	10860	0.0834	53.7415
140	слово	NOUN	10481	0.0805	53.8220
141	пока	ADVB	10355	0.0795	53.9015
142	слушать	VERB	10351	0.0795	53.9810
143	место	NOUN	10008	0.0768	54.0578
144	хороший	COMP	9964	0.0765	54.1343
145	уж	ADVB	9935	0.0763	54.2106
146	ребёнок	NOUN	9919	0.0761	54.2867
147	сколько	ADVB	9579	0.0735	54.3602
148	ка	PRCL	9528	0.0731	54.4334
149	ребята	NOUN	9510	0.0730	54.5064
150	под	PREP	9453	0.0726	54.5790
151	жить	VERB	9401	0.0722	54.6511
152	ждать	VERB	9400	0.0722	54.7233
153	самый	ADJF	9291	0.0713	54.7946
154	работа	NOUN	9129	0.0701	54.8647
155	слышать	VERB	9092	0.0698	54.9345
156	сказать	INFN	9076	0.0697	55.0042
