rank	lemma	pos	count	pct	cum_pct
157	дорога	NOUN	9071	0.0696	55.0738
158	деньга	NOUN	9050	0.0695	55.1433
159	нужно	PRED	9033	0.0693	55.2127
160	сделать	VERB	8762	0.0673	55.2799
161	добрый	ADJF	8759	0.0672	55.3472
162	пусть	PRCL	8633	0.0663	55.4134
163	делать	VERB	8563	0.0657	55.4792
164	бояться	VERB	8497	0.0652	55.5444
165	простить	VERB	8486	0.0651	55.6096
166	новый	ADJF	8465	0.0650	55.6745
167	послать	VERB	8436	0.0648	55.7393
168	три	NUMR	8317	0.0638	55.8032
169	здравствуй	INTJ	8272	0.0635	55.8667
170	завтра	ADVB	8183	0.0628	55.9295
171	каждый	ADJF	8139	0.0625	55.9920
172	помнить	VERB	8135	0.0625	56.0544
173	нужный	ADJS	7877	0.0605	56.1149
174	нельзя	PRED	7877	0.0605	56.1754
175	уйти	VERB	7854	0.0603	56.2357
176	извинить	VERB	7762	0.0596	56.2952
177	делать	INFN	7732	0.0594	56.3546
178	поехать	VERB	7727	0.0593	56.4139
179	много	ADVB	7700	0.0591	56.4730
180	правда	PRCL	7657	0.0588	56.5318
181	совсем	ADVB	7639	0.0586	56.5905
182	никогда	ADVB	7596	0.0583	56.6488
183	про	PREP	7560	0.0580	56.7068
184	потому	ADVB	7520	0.0577	56.7645
185	иметь	VERB	7496	0.0575	56.8221
186	всегда	ADVB	7494	0.0575	56.8796
187	опять	ADVB	7489	0.0575	56.9371
188	город	NOUN	7402	0.0568	56.9939
189	ах	INTJ	7375	0.0566	57.0506
190	через	PREP	7338	0.0563	57.1069
191	посмотреть	VERB	7249	0.0557	57.1625
192	голова	NOUN	7236	0.0556	57.2181
193	подождать	VERB	7204	0.0553	57.2734
194	иванович	NOUN	7138	0.0548	57.3282
195	жена	NOUN	7066	0.0542	57.3824
196	хоть	PRCL	7065	0.0542	57.4367
197	остаться	VERB	7053	0.0541	57.4908
198	вон	ADVB	6988	0.0536	57.5445
199	машина	NOUN	6970	0.0535	57.5980
200	при	PREP	6935	0.0532	57.6512
201	земля	NOUN	6902	0.0530	57.7042
202	работать	VERB	6861	0.0527	57.7569
203	ха	INTJ	6851	0.0526	57.8095
204	приехать	VERB	6800	0.0522	57.8617
205	час	NOUN	6789	0.0521	57.9138
206	мать	NOUN	6729	0.0517	57.9655
207	садиться	VERB	6705	0.0515	58.0169
208	найти	VERB	6647	0.0510	58.0680
209	глаз	NOUN	6645	0.0510	58.1190
210	казаться	VERB	6591	0.0506	58.1696
211	вообще	ADVB	6588	0.0506	58.2202
212	сын	NOUN	6512	0.0500	58.2701
213	забыть	VERB	6399	0.0491	58.3193
214	пора	NOUN	6389	0.0490	58.3683
215	помочь	VERB	6358	0.0488	58.4171
216	брать	VERB	6322	0.0485	58.4657
217	папа	NOUN	6315	0.0485	58.5141
218	свидание	NOUN	6277	0.0482	58.5623
219	женщина	NOUN	6265	0.0481	58.6104
220	любовь	NOUN	6195	0.0476	58.6580
221	право	NOUN	6114	0.0469	58.7049
222	музыка	NOUN	6112	0.0469	58.7519
223	правильно	ADVB	5984	0.0459	58.7978
224	сидеть	VERB	5970	0.0458	58.8436
225	душа	NOUN	5930	0.0455	58.8891
226	последний	ADJF	5890	0.0452	58.9344
227	иван	NOUN	5889	0.0452	58.9796
228	ага	INTJ	5888	0.0452	59.0248
229	разве	PRCL	5855	0.0449	59.0697
230	конец	NOUN	5833	0.0448	59.1145
231	вместе	ADVB	5812	0.0446	59.1591
232	вода	NOUN	5767	0.0443	59.2034
233	вопрос	NOUN	5765	0.0443	59.2477
234	свет	NOUN	5762	0.0442	59.2919
235	выйти	VERB	5754	0.0442	59.3361
236	давно	ADVB	5753	0.0442	59.3802
237	таки	PRCL	5746	0.0441	59.4243
238	звать	VERB	5743	0.0441	59.4684
239	брат	NOUN	5727	0.0440	59.5124
240	москва	NOUN	5694	0.0437	59.5561
241	случиться	VERB	5689	0.0437	59.5998
242	господь	NOUN	5655	0.0434	59.6432
243	жить	INFN	5639	0.0433	59.6865
244	война	NOUN	5510	0.0423	59.7288
245	откуда	ADVB	5501	0.0422	59.7710
246	вернуться	VERB	5494	0.0422	59.8132
247	чтоб	CONJ	5446	0.0418	59.8550
248	черта	NOUN	5442	0.0418	59.8968
249	после	PREP	5432	0.0417	59.9385
250	капитан	NOUN	5407	0.0415	59.9800
251	ночь	NOUN	5379	0.0413	60.0213
